L 1,L 2,Changlang,East Kameng,East Siang,Kurung Kumey,Lohit,Lower Dibang Valley,Lower Subansiri,Papum Pare,Tawang,Tirap,Upper Dibang Valley,Upper Siang,Upper Subansiri,West Kameng,West Siang,Grand Total
Agriculture,Crop land,510.35,32.80,470.71,21.22,621.14,269.30,42.01,102.39,3.65,31.95,5.87,56.40,46.87,38.05,119.87,2372.56
Agriculture,Current Shifting cultivation,52.99,40.66,13.66,48.46,82.79,13.89,98.10,33.14,19.49,174.85,131.05,8.91,61.39,75.68,161.72,1016.77
Agriculture,Fallow,,,,,45.50,,,,,,,,,,2.63,48.13
Agriculture,Plantation,10.68,,4.86,,14.85,0.46,,0.91,,3.34,,,,,,35.10
Barren/unculturable/ Wastelands,Barren Rocky,4.13,5.75,7.31,2.79,55.33,22.67,3.36,2.23,11.67,,1.95,6.55,1.62,13.74,1.19,140.28
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,,,,,,,,,,,,,,0.00
Barren/unculturable/ Wastelands,Rann,0.00,,,,,,,,,,,,,,,0.00
Barren/unculturable/ Wastelands,Salt Affected Land,0.00,,,,,,,,,,,,,,,0.00
Barren/unculturable/ Wastelands,Sandy Area,2.72,0.03,0.00,0.00,5.66,0.00,0.00,0.26,0.00,0.00,0.04,0.00,0.00,0.00,0.00,8.71
Barren/unculturable/ Wastelands,Scrub Land,5.68,17.90,95.68,151.75,36.91,62.80,118.29,2.63,811.56,0.08,29.21,38.51,1.12,1035.88,17.57,2425.55
Builtup,Mining,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63
Builtup,Rural,47.48,17.45,32.87,19.70,78.02,12.78,34.04,29.34,13.86,26.90,7.38,9.53,13.78,32.69,35.57,411.40
Builtup,Urban,6.55,1.29,17.24,1.02,14.53,8.95,3.50,28.89,5.16,9.62,2.66,2.92,3.00,1.21,19.06,125.61
Forest,Deciduous,11.93,0.00,43.30,0.00,50.36,12.29,0.00,10.28,0.00,1.21,0.15,0.17,0.00,0.71,2.84,133.23
Forest,Evergreen/Semi evergreen,3994.79,3939.37,3441.85,5819.52,6485.94,2850.72,2539.12,2587.92,982.36,1557.30,4130.10,4483.11,5549.84,5604.59,6228.09,60194.63
Forest,Forest Plantation,1.49,,0.15,,2.06,0.57,18.05,0.35,0.07,0.03,,,0.08,,,22.84
Forest,Scrub Forest,36.32,4.67,36.75,19.15,39.16,27.55,102.74,27.00,19.78,137.92,52.57,13.23,25.90,25.33,55.81,623.89
Forest,Swamp / Mangroves,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Grass / Grazing,Grass / Grazing,137.49,0.87,198.25,259.07,1552.59,302.26,7.47,1.46,19.70,0.00,1429.82,533.28,649.20,3.53,560.23,5655.22
Snow and Glacier,Snow and Glacier,126.09,,,747.73,1937.31,282.61,,,244.72,,3121.51,983.19,654.25,462.98,393.88,8954.27
Wet lands / Water bodies,Coastal Wetland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Wet lands / Water bodies,Inland Wetland,0.00,0.00,0.43,0.00,0.00,5.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.46
Wet lands / Water bodies,River/Stream/Canals,119.38,73.20,323.92,46.23,373.92,197.33,26.77,47.92,31.83,11.81,40.69,52.20,21.38,121.32,44.56,1532.46
Wet lands / Water bodies,Water bodies,0.28,0.00,0.03,4.36,5.95,0.79,0.56,0.27,8.16,0.00,5.99,0.00,3.56,6.31,0.00,36.26
