L 1,L 2,Bagalkot,Bangalore Rural,Bangalore Urban,Belgaum,Bellary,Bidar,Bijapur,Chamrajnagar,Chikmagalur,Chitradurga,Dakshin Kannad,Davanagere,Dharwad,Gadag,Gulbarga,Hassan,Haveri,Kodagu,Kolar,Koppal,Mandya,Mysore,Raichur,Shimoga,Tumkur,Udupi,Uttarakhand,Grand Total
Agriculture,Crop land,5021.98,2012.04,480.21,10082.36,5184.38,4449.06,9056.79,2098.36,1942.75,5453.40,196.26,3560.44,3341.50,3709.68,13736.78,3388.71,3828.85,655.77,4576.08,5252.26,3312.08,3979.67,5818.07,2419.58,5475.89,651.36,1227.84,110912.14
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,29.55,285.32,88.20,314.33,397.02,245.28,615.93,215.24,6.43,299.62,9.18,68.26,224.43,378.33,362.63,32.05,89.01,1.53,500.08,643.07,27.34,33.04,77.47,15.76,136.38,16.99,0.11,5112.57
Agriculture,Plantation,12.25,1865.95,516.23,67.05,63.64,19.10,104.66,176.90,1944.85,720.12,1948.47,926.71,17.76,5.50,55.93,1973.22,108.74,1425.83,904.00,17.74,662.91,585.58,18.29,1314.90,2823.71,823.32,340.47,19443.84
Barren/unculturable / Wastelands,Barren Rocky,66.50,74.68,2.86,6.21,183.92,0.90,34.13,4.25,8.79,70.22,34.15,4.29,0.64,16.06,65.29,14.76,0.04,4.87,138.46,131.77,18.59,0.77,59.92,1.75,115.33,34.41,57.77,1151.34
Barren/unculturable / Wastelands,Gullied / Ravinous Land,,2.76,1.23,0.00,5.89,0.00,4.06,1.33,1.76,8.11,0.00,1.08,0.00,0.14,2.49,0.14,3.01,0.00,23.16,0.00,0.34,2.06,0.00,0.00,3.90,0.00,0.00,61.46
Barren/unculturable / Wastelands,Rann,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable / Wastelands,Salt Affected Land,5.72,1.75,0.22,2.12,95.09,,2.43,12.56,18.45,81.73,,28.98,0.09,6.62,90.61,1.12,0.89,,2.43,98.42,0.15,2.28,55.60,0.21,18.62,,,526.08
Barren/unculturable / Wastelands,Sandy Area,,,,,5.97,0.00,0.00,0.24,0.00,0.00,2.38,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.01,0.00,1.30,0.10,0.00,0.00,0.69,1.55,12.46
Barren/unculturable / Wastelands,Scrub Land,187.37,259.59,81.14,585.22,625.74,369.55,137.77,230.98,173.75,571.59,109.81,186.94,54.78,84.22,687.29,253.35,88.65,12.18,547.52,343.34,215.58,86.94,278.33,170.13,470.68,38.88,40.49,6891.82
Builtup,Mining,15.16,43.55,29.31,10.47,75.78,1.46,10.64,6.33,10.77,17.66,0.35,14.11,2.65,2.10,46.58,14.04,6.82,0.64,130.23,23.89,20.41,9.35,6.97,9.19,35.48,2.88,8.36,555.19
Builtup,Rural,86.08,128.51,73.28,182.69,103.58,68.59,96.23,49.25,92.16,87.55,215.54,151.14,70.90,63.60,157.75,96.77,152.13,35.38,118.68,78.80,136.89,135.67,63.10,340.21,153.19,15.02,52.80,3005.48
Builtup,Urban,70.53,69.46,656.58,102.16,98.71,40.23,43.08,8.95,36.65,40.24,88.99,59.55,84.20,30.70,98.45,47.61,33.38,20.92,60.70,33.72,45.10,153.43,37.45,50.46,62.09,93.83,141.87,2309.05
Forest,Deciduous,63.24,458.94,120.16,554.72,52.87,22.49,0.00,2245.97,1610.23,427.58,904.31,428.53,298.87,11.07,151.38,319.49,137.15,813.99,364.79,15.10,86.56,881.55,4.87,2026.01,523.01,1039.31,2366.28,15928.49
Forest,Evergreen/Semi evergreen,,3.37,0.70,560.08,0.00,0.00,0.00,353.56,636.50,0.00,1085.48,0.36,0.00,0.00,0.00,185.26,31.94,800.03,0.00,0.00,0.00,56.85,0.00,1097.17,0.00,762.00,4467.24,10040.53
Forest,Forest Plantation,48.77,160.78,16.92,101.34,118.15,59.55,6.91,51.62,157.86,136.11,56.28,129.51,14.79,40.13,7.36,56.90,181.93,131.27,208.73,1.02,63.92,55.63,0.31,287.88,47.80,7.09,863.55,3012.11
Forest,Scrub Forest,578.00,228.20,18.62,458.49,989.68,64.58,6.66,105.37,62.55,167.77,22.35,232.93,57.29,246.16,335.08,27.24,15.22,29.98,180.53,126.16,100.92,21.85,182.62,81.03,182.84,30.47,360.45,4913.03
Forest,Swamp / Mangroves,,,,,,,,,,,0.13,,,,,,,,,,,,,,,4.50,1.19,5.81
Grass / Grazing,Grass / Grazing,,0.21,3.97,21.44,0.00,0.00,0.00,20.21,282.60,0.00,58.01,0.00,0.00,0.00,0.00,76.25,0.00,115.56,0.00,0.00,0.00,0.00,0.00,79.33,0.00,11.79,12.94,682.32
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,3.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,9.69,23.85
Wet lands / Water bodies,Inland Wetland,0.31,0.00,7.16,3.70,0.00,0.00,0.00,0.00,0.00,0.00,5.83,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.04,0.93,5.13,23.34
Wet lands / Water bodies,River/Stream/Canals,69.09,25.88,3.34,103.94,125.03,41.01,151.30,47.22,22.18,46.66,100.92,41.91,25.29,42.89,279.44,41.10,48.62,31.03,20.00,157.16,59.32,77.60,157.91,45.67,45.84,48.47,105.85,1964.69
Wet lands / Water bodies,Water bodies,320.44,194.02,89.87,258.69,293.54,66.20,223.40,56.65,192.72,311.63,1.53,131.26,36.81,19.59,146.70,285.98,124.61,23.02,447.60,266.53,210.88,185.44,66.99,525.74,503.20,4.93,227.42,5215.38
