L 1,L 2,Ajmer,Alwar,Banswara,Baran,Barmer,Bharatpur,Bhilwara,Bikaner,Bundi,Chittaurgarh,Churu,Dausa,Dhaulpur,Dungarpur,Ganganagar,Hanumangarh,Jaipur,Jaisalmer,Jalor,Jhalawar,Jhunjhunun,Jodhpur,Karauli,Kota,Nagaur,Pali,Rajsamand,Sawai Madhopur,Sikar,Sirohi,Tonk,Udaipur,Grand Total
Agriculture,Crop land,4288.54,5006.22,2506.07,3320.85,7133.06,3816.96,3872.81,6447.77,2533.26,5327.66,9798.72,2023.70,1483.68,1451.64,6831.50,6530.19,5102.88,4383.04,6017.95,2433.59,4199.32,8326.02,2014.39,2453.73,9567.73,3930.17,1393.39,2701.36,5197.85,1586.55,4358.31,3123.17,139162.10
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,1002.17,736.01,542.89,492.66,13800.37,446.44,2190.27,9259.81,508.87,1304.24,5796.21,569.43,173.09,433.36,2081.61,2291.72,2239.60,5148.40,2478.67,1121.72,564.78,8878.80,467.17,328.05,5774.52,4563.36,339.41,482.78,904.03,591.05,1242.85,600.96,77355.28
Agriculture,Plantation,0.34,1.40,,,0.99,0.06,17.88,0.34,0.65,2.63,1.19,0.25,0.24,,0.25,0.25,1.01,25.07,0.50,6.14,,13.10,,0.11,,27.50,,0.34,0.74,,0.10,,101.05
Barren/unculturable/ Wastelands,Barren Rocky,203.91,272.73,94.16,69.44,351.71,165.15,211.47,13.30,73.58,102.22,3.54,32.70,105.39,40.87,,,73.08,1240.90,178.96,17.02,33.01,494.29,90.75,15.27,93.01,277.69,380.87,8.79,28.03,122.86,12.61,204.59,5011.88
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,37.33,132.78,,239.63,40.94,84.28,11.50,94.92,303.74,0.21,4.17,132.09,202.97,,,,224.29,88.11,76.77,48.98,41.68,11.75,209.39,185.40,33.99,14.09,,164.57,130.72,52.42,32.67,,2599.38
Barren/unculturable/ Wastelands,Rann,,,,,53.08,,,,,,,,,,,,,50.79,92.23,,,,,,,,,,,,,,196.10
Barren/unculturable/ Wastelands,Salt Affected Land,52.13,1.16,,,189.74,1.67,,,,3.01,22.32,0.42,,,,,134.64,108.27,47.56,,,74.20,,,152.80,122.53,,0.19,21.47,7.83,,,939.95
Barren/unculturable/ Wastelands,Sandy Area,17.38,0.43,,13.24,3864.41,13.19,0.02,8384.44,0.10,,180.07,1.05,0.08,,1361.34,316.60,94.53,13017.28,293.74,,25.22,1945.02,0.24,0.36,268.54,75.85,,12.04,113.31,35.75,4.48,,30038.70
Barren/unculturable/ Wastelands,Scrub Land,1650.17,563.36,351.00,401.88,1421.45,270.53,2501.90,2061.15,320.33,1534.91,455.53,232.98,378.73,974.51,242.35,108.44,1109.37,13087.82,468.21,1138.76,347.85,1528.05,603.81,385.40,594.71,1561.27,1855.27,318.20,436.85,961.34,551.26,2801.49,41218.89
Builtup,Mining,30.59,10.05,0.17,0.27,8.73,1.14,20.62,25.98,25.00,19.10,2.34,1.89,0.47,2.90,0.03,0.10,12.15,21.44,0.34,4.98,4.63,24.25,3.06,15.62,19.34,4.54,39.95,0.46,3.34,1.70,3.00,22.56,330.78
Builtup,Rural,70.65,111.65,32.99,60.54,109.29,69.89,81.88,228.13,54.37,103.60,214.61,36.26,41.43,32.06,209.66,187.90,115.50,95.06,97.41,69.20,116.01,123.73,70.38,45.31,205.88,71.74,35.85,58.63,134.10,26.99,86.96,49.21,3046.86
Builtup,Urban,98.45,76.76,16.49,17.50,50.91,31.38,41.28,147.64,12.17,34.22,70.86,12.02,14.17,8.41,88.48,41.86,291.88,19.27,21.92,13.82,43.90,165.59,17.52,65.33,49.78,52.53,24.04,22.79,37.13,22.26,19.83,66.75,1696.94
Forest,Deciduous,343.18,1275.47,506.23,883.31,0.53,41.22,212.03,84.83,738.51,1526.28,111.51,99.16,201.21,273.33,36.17,18.43,550.37,84.96,152.63,587.03,292.68,41.83,684.51,870.24,48.84,688.46,388.33,617.26,286.39,955.31,255.08,3944.27,16852.89
Forest,Evergreen/Semi evergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest,Forest Plantation,,0.43,11.69,16.92,0.86,,,1.24,6.11,6.61,,,,28.11,,2.32,0.40,3.43,1.29,2.22,,5.39,0.10,,,6.70,,0.07,0.68,23.70,1.99,0.36,120.61
Forest,Scrub Forest,228.60,109.47,642.18,1155.67,126.16,57.75,362.93,66.12,766.52,573.18,,74.08,296.49,322.11,,25.00,377.54,135.15,153.12,547.17,166.04,59.33,1214.58,771.61,116.32,190.23,29.89,355.33,304.50,517.67,75.86,1365.24,11185.85
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grass / Grazing,Grass / Grazing,189.76,28.82,26.37,69.22,984.99,7.94,500.95,299.76,41.20,24.80,149.08,64.81,11.03,30.42,8.28,25.80,49.23,722.06,331.07,70.90,60.57,995.74,25.69,21.45,603.89,436.33,51.87,27.51,81.83,58.38,7.60,52.23,6059.58
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,7.66,,,0.12,23.75,,,28.84,,,1.34,,,,9.47,37.67,9.75,13.02,0.26,,,27.68,,1.23,37.56,,,,3.18,1.62,,,203.15
Wet lands / Water bodies,River/Stream/Canals,78.38,34.82,93.94,145.84,194.19,60.56,175.47,86.72,86.83,85.84,3.45,81.30,70.85,55.11,105.48,60.88,127.12,125.58,185.12,103.12,27.15,110.97,73.00,147.70,37.95,250.47,72.65,180.06,34.56,121.07,155.87,159.43,3331.44
Wet lands / Water bodies,Water bodies,181.76,18.44,212.82,67.90,31.85,23.84,253.99,13.03,78.77,207.50,15.05,16.56,28.18,117.17,3.37,8.84,122.66,31.35,42.25,54.36,5.16,24.26,49.43,174.19,113.13,113.57,77.49,52.61,13.28,49.50,385.51,199.75,2787.57
