L 1,L 2,Araria,Aurangabad,Banka,Begusarai,Bhabua,Bhagalpur,Bhojpur,Buxar,Darbhanga,Gaya,Gopalganj,Jamui,Jehanabad,Katihar,Khagaria,Kishanganj,Lakhisarai,Madhepura,Madhubani,Munger,Muzaffarpur,Nalanda,Nawada,Pashchim Champaran,Patna,Purba Champaran,Purnia,Rohtas,Saharsa,Samastipur,Saran,Sheikhpura,Sheohar,Sitamarhi,Siwan,Supaul,Vaishali,Grand Total
Agriculture,Crop land,2278.77,2485.32,1872.64,1299.95,1880.95,1842.35,2012.47,1355.98,1540.08,3186.26,1423.86,1484.39,1290.57,2313.93,1199.53,1428.34,945.10,1485.38,2414.44,706.97,1909.07,2051.25,1488.98,2937.95,2412.40,2862.62,2419.67,2497.21,1222.95,2258.57,1875.88,449.67,417.79,1587.74,1545.03,1661.60,1097.44,65143.09
Agriculture,Current Shifting cultivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,Fallow,64.58,179.48,36.75,24.88,116.50,74.36,46.82,27.04,132.67,422.32,174.69,133.66,57.91,75.21,13.14,120.73,54.99,22.90,228.20,12.93,296.26,70.17,206.81,461.22,127.10,205.90,252.41,79.13,47.56,95.85,154.62,36.40,52.61,69.61,110.69,52.26,121.19,4459.54
Agriculture,Plantation,44.98,13.92,27.70,87.97,1.65,117.06,76.79,23.41,212.46,7.31,22.41,8.72,13.82,36.99,35.77,49.72,22.41,37.19,346.85,8.87,267.23,6.06,7.65,102.98,17.14,223.07,38.85,16.65,45.50,129.89,40.88,7.52,34.88,142.92,26.30,58.35,354.87,2716.74
Barren/unculturable/ Wastelands,Barren Rocky,,3.53,15.16,,8.95,0.99,,,,24.32,,9.53,1.31,,,,3.24,,,2.59,,0.31,20.11,,,,,9.38,,,,2.69,,,,,,102.11
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,0.92,18.52,,5.58,,,,,5.50,,28.13,,,,,,,,0.41,,,2.29,,,,,13.41,,,,,,,,,,74.76
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,0.05,,,,,0.57,0.03,1.73,,,,,,,,,,,,,,,,,,,0.93,,,,,,,0.11,,,3.43
Barren/unculturable/ Wastelands,Sandy Area,,0.39,1.03,,,,0.45,0.60,0.54,0.14,0.88,0.48,0.14,,,,,,0.77,,0.07,,,2.61,0.61,1.69,,0.52,,2.78,1.40,,,0.43,0.39,5.51,,21.41
Barren/unculturable/ Wastelands,Scrub Land,38.52,72.02,536.19,26.95,23.05,92.07,29.16,17.37,12.08,136.85,60.79,561.03,16.52,117.25,10.89,43.35,17.38,19.91,17.61,91.45,69.35,1.80,29.18,175.00,37.14,90.13,36.90,60.88,18.39,29.99,81.95,0.31,5.72,7.73,39.52,194.76,23.72,2842.92
Builtup,Mining,3.51,8.00,0.05,1.25,3.52,4.25,7.11,5.93,11.92,5.08,3.58,0.48,4.72,6.05,0.59,7.30,0.07,2.06,15.69,0.68,8.94,0.90,5.13,2.14,14.72,11.71,4.89,15.89,5.40,1.01,9.67,2.98,1.69,9.80,10.21,4.02,2.56,203.52
Builtup,Rural,235.95,162.35,117.89,150.41,100.43,100.22,168.51,109.61,190.97,140.55,183.70,122.79,91.93,117.61,82.63,131.93,56.70,138.77,308.68,69.68,287.82,111.45,112.86,228.82,143.85,281.95,174.92,184.62,92.36,200.53,105.39,28.89,42.84,153.11,241.80,164.22,111.04,5447.80
Builtup,Urban,11.87,23.12,2.36,65.96,12.02,51.31,14.67,10.15,34.23,44.09,7.00,7.87,4.59,15.79,5.55,6.09,11.57,4.90,12.59,22.81,63.70,28.38,7.50,19.97,150.35,25.82,28.16,32.83,11.19,22.36,28.81,6.19,0.82,15.50,10.04,9.40,14.89,844.42
Forest,Deciduous,,131.88,255.18,,701.61,0.07,,0.05,0.80,598.08,0.03,636.57,0.09,,,,162.81,,0.03,307.75,0.38,46.98,486.31,772.45,0.02,0.59,,514.48,,5.54,0.10,,0.99,4.06,,,0.08,4626.95
Forest,Evergreen/Semi evergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest,Forest Plantation,,,0.53,,,,,,,,,1.28,,,,,,,,0.02,,,,2.66,,,,,,,,,,,0.04,,,4.52
Forest,Scrub Forest,,48.42,14.97,,461.45,,,,,259.01,,36.02,6.03,,,,9.76,,,7.28,,1.57,48.57,148.12,,,,204.99,,,,,,,,,,1246.20
Forest,Swamp / Mangroves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grass / Grazing,Grass / Grazing,,0.04,,,,0.00,2.82,1.76,0.11,,,,,,,,,0.67,,,,,,0.11,5.88,,,,,0.08,,,,,,,6.77,18.23
Snow and Glacier,Snow and Glacier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,46.78,16.43,0.75,55.17,0.66,46.34,7.02,8.15,96.61,0.63,66.72,6.96,1.78,160.03,46.71,13.88,1.02,31.31,48.80,3.00,179.23,11.59,4.09,65.69,17.98,129.13,114.61,1.00,121.74,70.75,169.95,0.47,7.77,31.35,163.67,40.16,156.36,1944.28
Wet lands / Water bodies,River/Stream/Canals,64.90,156.03,85.33,174.47,41.72,229.88,105.79,60.77,30.69,142.20,85.44,82.22,77.53,213.67,85.66,134.30,53.77,48.24,95.34,159.63,85.80,31.49,64.29,305.39,274.51,127.21,128.96,205.78,128.22,85.50,170.22,2.54,17.42,32.37,66.29,289.49,145.80,4288.86
Wet lands / Water bodies,Water bodies,2.15,3.12,32.94,1.99,10.90,2.08,1.83,3.14,14.11,3.65,3.90,22.88,2.06,0.46,1.52,0.36,3.19,0.66,12.00,2.94,4.15,5.06,10.23,2.89,0.30,8.18,0.64,6.29,0.69,1.16,2.13,2.32,0.47,5.38,4.90,0.23,1.28,182.21
