L 1,L 2,EastGaro,East Khasi,Jaintia,RiBhoi,South Garo,West Garo,West Khasi,Grand Total
Agriculture,Crop land,120.93,206.28,112.23,168.25,74.88,492.53,114.20,1289.31
Agriculture,Current Shifting cultivation,32.36,,13.07,49.71,16.72,118.60,3.28,233.74
Agriculture,Fallow,,,,0.99,,0.33,,1.32
Agriculture,Plantation,49.31,,0.28,0.31,0.53,514.71,,565.14
Barren/unculturable/ Wastelands,Barren Rocky,,200.23,27.06,0.01,0.08,,35.66,263.03
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,,,,,,
Barren/unculturable/ Wastelands,Rann,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,,,,
Barren/unculturable/ Wastelands,Sandy Area,,0.20,1.17,0.09,2.93,,,4.40
Barren/unculturable/ Wastelands,Scrub Land,426.47,204.76,944.64,101.43,155.14,288.73,714.37,2835.55
Builtup,Mining,,0.64,0.97,0.00,0.00,0.17,0.00,1.78
Builtup,Rural,117.84,189.03,108.94,86.04,63.83,49.65,159.75,775.07
Builtup,Urban,4.37,31.57,14.36,17.82,0.67,10.76,6.27,85.82
Forest,Deciduous,1366.01,789.79,1600.85,798.47,675.32,1707.98,2766.67,9705.09
Forest,Evergreen/Semi evergreen,73.54,27.03,286.84,144.90,205.69,11.64,0.36,750.02
Forest,Forest Plantation,,,0.06,13.63,,,,13.70
Forest,Scrub Forest,169.94,2.49,101.04,159.71,70.82,109.14,1.88,615.01
Forest,Swamp / Mangroves,223.62,1042.70,573.48,885.69,553.29,308.35,1356.07,4943.21
Grass / Grazing,Grass / Grazing,,,,,,0.03,,0.03
Snow and Glacier,Snow and Glacier,,,,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,,,,
Wet lands / Water bodies,Inland Wetland,2.05,,,,,53.35,0.00,55.40
Wet lands / Water bodies,River/Stream/Canals,16.02,47.78,30.84,15.33,29.48,45.53,88.44,273.42
Wet lands / Water bodies,Water bodies,0.55,5.49,3.16,5.62,0.62,2.49,0.05,17.98
