L 1,L 2,East Sikkim,North Sikkim,South Sikkim,West Sikkim,Grand Total
Agriculture,Crop land,153.93,44.16,206.32,184.28,588.69
Agriculture,Current Shifting cultivation,,,,,
Agriculture,Fallow,,0.44,,0.13,0.57
Agriculture,Plantation,,,2.70,1.72,4.42
Barren/unculturable/ Wastelands,Barren Rocky,16.48,738.69,0.86,171.77,927.80
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,,,,,
Barren/unculturable/ Wastelands,Rann,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,,,,,
Barren/unculturable/ Wastelands,Sandy Area,0.04,2.15,1.46,0.07,3.72
Barren/unculturable/ Wastelands,Scrub Land,2.67,8.48,6.55,2.94,20.64
Builtup,Mining,,,0.02,0.07,0.09
Builtup,Rural,2.19,1.30,1.56,0.60,5.66
Builtup,Urban,12.45,0.73,4.06,1.01,18.27
Forest,Deciduous,33.67,10.75,68.22,70.20,182.84
Forest,Evergreen/Semi evergreen,559.11,1120.90,377.56,515.48,2573.05
Forest,Forest Plantation,0.97,,1.59,1.31,3.87
Forest,Scrub Forest,3.07,26.42,9.66,13.86,53.01
Forest,Swamp / Mangroves,,,,,
Grass / Grazing,Grass / Grazing,56.56,490.92,22.03,51.75,621.26
Snow and Glacier,Snow and Glacier,104.70,1744.46,34.03,141.32,2024.52
Wet lands / Water bodies,Inland Wetland,,,,,
Wet lands / Water bodies,Coastal Wetland,,,,,
Wet lands / Water bodies,River/Stream/Canals,6.26,18.94,13.37,8.39,46.95
Wet lands / Water bodies,Water bodies,1.90,17.65,,1.10,20.65
