L 1,L 2,Adilabad,Hyderabad,Karimnagar,Khammam,Mahbubnagar,Medak,Nalgonda,Nizamabad,Rangareddi,Warangal,Grand Total
Agriculture,Crop land,6803.39,1.44,6476.02,6883.20,11271.34,6100.64,8444.39,3923.32,3871.13,6667.15,60442.02
Agriculture,Current Shifting cultivation,,,,,,,,,,,
Agriculture,Fallow,1178.05,0.55,670.40,214.76,1708.21,693.12,2408.01,721.31,1111.03,1043.22,9748.65
Agriculture,Plantation,46.88,,142.61,501.40,73.15,52.90,229.22,7.98,79.98,42.77,1176.89
Barren/unculturable/ Wastelands,Barren Rocky,24.58,,72.39,35.55,231.03,47.16,181.31,42.91,54.61,77.74,767.26
Barren/unculturable/ Wastelands,Gullied / Ravinous Land,67.98,,3.03,40.72,1.62,2.07,1.24,10.01,0.28,1.85,128.80
Barren/unculturable/ Wastelands,Rann,,,,,,,,,,,
Barren/unculturable/ Wastelands,Salt Affected Land,14.81,,,6.44,271.75,,118.00,0.71,3.09,19.29,434.11
Barren/unculturable/ Wastelands,Sandy Area,0.90,,0.09,1.14,0.17,,0.12,0.46,,2.10,4.99
Barren/unculturable/ Wastelands,Scrub Land,391.73,5.08,678.55,110.86,777.37,905.72,666.40,567.99,516.28,467.04,5087.01
Builtup,Mining,34.28,,97.44,55.01,39.88,30.08,78.45,18.18,67.27,45.76,466.35
Builtup,Rural,211.73,,340.47,203.34,248.16,159.38,290.26,150.40,127.05,305.02,2035.82
Builtup,Urban,104.68,197.31,125.57,110.12,94.59,151.85,141.72,61.79,759.86,118.94,1866.44
Forest,Deciduous,5361.82,0.54,1811.37,3976.23,1817.24,575.38,146.21,1189.79,289.23,2846.61,18014.42
Forest,Evergreen/Semi evergreen,,,,,,,0.13,,,,0.13
Forest,Forest Plantation,38.25,,33.32,183.91,0.03,32.86,1.43,0.49,48.11,15.63,354.02
Forest,Scrub Forest,941.06,,384.90,258.75,905.98,321.20,574.06,527.10,290.44,412.64,4616.13
Forest,Swamp / Mangroves,0.03,,,,,,,,,,0.03
Grass / Grazing,Grass / Grazing,0.05,0.59,,,,,,,31.84,,32.48
Snow and Glacier,Snow and Glacier,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Wet lands / Water bodies,Coastal Wetland,,,,,,,,,,,
Wet lands / Water bodies,Inland Wetland,0.55,,0.01,,1.35,4.69,0.75,10.98,,0.64,18.97
Wet lands / Water bodies,River/Stream/Canals,403.51,2.63,429.98,358.81,286.44,82.19,241.01,147.25,27.85,216.90,2196.58
Wet lands / Water bodies,Water bodies,503.73,8.87,556.84,304.77,703.69,539.77,717.29,575.33,214.94,562.69,4687.91
